"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
AVENIDA,AYRTON SENNA DA SILVA,"0",KM    364,PASCOAL RAMOS,"78098000",MT,CUIABA
RUA,"95","99",QUADRAF13                 LOTE  09-E                SALA  510,SET SUL,"74083100",GO,GOIANIA
AVENIDA,WASHINGTON LUIS,"831",,SANTO AMARO,"04662001",SP,SAO PAULO
AVENIDA,GIOVANNI GRONCHI,"6195",EDIF  GIOVANNI GRONCHI OFFSALA  1609,VILA ANDRADE,"05724003",SP,SAO PAULO
AVENIDA,MIRIAM,"92",,CENTRO,"06320060",SP,CARAPICUIBA
CONDOMINIO,"CONDOMINIO SOL NASCENTE, CONJUNTO B, LOTE","20",,DF 425,"73092905",DF,BRASILIA
RUA,"15",SN,QUADRA15                  LOTE  07                  GALPAO05,POLO EMPRESARIAL GOIAS - ETAPA III,"74985186",GO,APARECIDA DE GOIANIA
AVENIDA,WASHINGTON LUIS,S/N,SALA  DE EMBARQUE REMOTO  ANDAR TERREO TERM DE PASS,SANTO AMARO,"04627006",SP,SAO PAULO
RUA,DOS CORRENTISTAS,"325",,VILA BANCARIA,"03918090",SP,SAO PAULO
AVENIDA,SOLIMOES,"2067",,DISTRITO INDUSTRIAL II,"69007004",AM,MANAUS
ESTRADA,ESTRADA ARY ANTUNES,S/N,,KM 4,"69425000",AM,CAAPIRANGA
MARGEM,MARGEM DO RIO PARANA DO ANAMA,S/N,,CENTRO,"69445000",AM,ANAMA
RUA,ADALBERTO FERREIRA AMARAL,"79",,CENTRO,"35520052",MG,NOVA SERRANA
RUA,SETE DE SETEMBRO,"2057",,CENTRO,"97501648",RS,URUGUAIANA
RUA,RUA PARANA,"1610",,CENTRO,"79490000",MS,SAO GABRIEL DO OESTE
AVENIDA,DR GASTAO VIDIGAL,"1946",,VILA LEOPOLDINA,"05316900",SP,SAO PAULO
AVENIDA,JOSE HERCULANO,"1086",BLOCO I                   LOJA  I-01,PONTAL DE SANTA MARINA,"11672901",SP,CARAGUATATUBA
RUA,PARANA,"101",LOTE  06                  QUADRA11,CENTRO,"78360000",MT,CAMPO NOVO DO PARECIS
AVENIDA,GOIAS,"1994",QUADRA7                   LOTE  6,SETOR CENTRAL,"77410010",TO,GURUPI
PRACA,PREFEITO EUCLIDES ANTONIO FABRIS,"477",,CENTRO,"79950000",MS,NAVIRAI
AVENIDA,EXPEDICIONARIO WEBER,"245",ANEXO PARTE,CENTRO,"98780340",RS,SANTA ROSA
PRACA,CORONEL JOAQUIM JOSE,"156",SALA  POSTO DE ATENDIMENTO,CENTRO,"13870120",SP,SAO JOAO DA BOA VISTA
RUA,CORONEL MARCOS ROVARIS,"290",,CENTRO,"88930000",SC,TURVO
AVENIDA,JERONIMO DE ALBUQUERQUE MARANHAO,"3",,COHAB ANIL,"65051210",MA,SAO LUIS
AVENIDA,GETULIO VARGAS,"1847",,FABRIL,"65025000",MA,SAO LUIS
RUA,FLORIANO PEIXOTO,"170",,CENTRO,"14730000",SP,MONTE AZUL PAULISTA
RUA,TRINTA E DOIS (LOT JD INDUSTRIARIO I),SN,      ANTIGA RUA 21             IND. 2/7                  AREA 1,JARDIM INDUSTRIARIO,"78098668",MT,CUIABA
VIA,SECUNDARIA 2,S/N,QUADRA04 MODULO 19        SALA  02,BAIRRO DAIO,"75280000",GO,ORIZONA
RODOVIA,RS-350,"0",KM    28,SAO LUIZ,"96785400",RS,CAMAQUA
RUA,ELCIO LUIZ CAVALCANTE,"650",ANEXO HOSPITAL UNIMED,COGNOPOLIS,"85856771",PR,FOZ DO IGUACU
RUA,GOIAS,"1048",,HIGIENOPOLIS,"15805000",SP,CATANDUVA
RUA,RIO ITAQUI,"0",,VILA BURITI,"69072080",AM,MANAUS
ILHA,MOCANGUE GRANDE,S/N,,PONTA D'AREIA,"24040300",RJ,NITEROI
QUADRA,QUADRA 1/2 AREA ESPECIAL 4,S/N,      COMERCIAL 1,PARANOA PARQUE (PARANOA),"71587032",DF,BRASILIA
AVENIDA,BRASIL,"136",,BAIXADA AMARELA,"85892000",PR,SANTA HELENA
RUA,APARICIO BORGES DO REGO,"400",,CENTRO,"79700000",MS,FATIMA DO SUL
RODOVIA,BR-153,"1555",,PASSO DO MOURA,"96504800",RS,CACHOEIRA DO SUL
RUA,PLINIO DE CASTRO,"728",,DOIS E JULHO,"46640000",BA,ITUACU
AVENIDA,RIO DO OURO,S/N,LOTE  03                  QUADRA02,VILA ROSA,"76550000",GO,PORANGATU
RUA,LINDOLFO GARCIA ADJUTO,"732",      INCLUI O NR. 750,ALTO DO CORREGO,"38606026",MG,PARACATU
AVENIDA,JOSE DE PAULA BARBOSA,"390",      A,CENTRO,"37690000",MG,SAPUCAI-MIRIM
RUA,RIO BRANCO,"35",SALA  202,CENTRO,"27330030",RJ,BARRA MANSA
AVENIDA,FRANCISCO RODRIGUES FILHO,"6532",,VILA SUISSA,"08810000",SP,MOGI DAS CRUZES
RUA,DIRETA DA MATA ESCURA,"13",      .,MATA ESCURA,"41225190",BA,SALVADOR
RODOVIA,BR 104 KM 70,S/N,BLOCO A CEACA             LOJA  04/05/35/36,CIDADE ALTA,"55002970",PE,CARUARU
RUA,PRIMEIRO DE MAIO,"442",,CENTRO,"83323020",PR,PINHAIS
RUA,CEL. LIBORIO GOMES DA SILVA,S/N,ANEXO,CENTRO,"61760000",CE,EUSEBIO
RODOVIA,BR-392,"1001",SALA  18                  KM    12,ZONA PORTUARIA,"96204480",RS,RIO GRANDE
SETOR,ACSV SE 32,LO 05,LOTE  17                  SALA  01,PLANO DIRETOR SUL,"77021026",TO,PALMAS
RODOVIA,JOSE MATICOLLI,SN,KM    4,ZONA RURAL,"15685000",SP,OUROESTE
QUADRA,"QI 33, BLOCO A, LOJA 09, SALA","110",,GUARA II,"71065330",DF,BRASILIA
RODOVIA,WASHINGTON LUIZ,"13350",QUADRA03                  LOTE  01                  SALA  01                  KM    111,JARDIM PRIMAVERA,"25213005",RJ,DUQUE DE CAXIAS
ENTRADA,"386",SN,,DISTRITO INDUSTRIAL,"92510971",RS,MONTENEGRO
AVENIDA,IVAI,"2084",SALA  01,GLEBA PATRIMONIO PAICANDU,"87140000",PR,PAICANDU
RODOVIA,LUIZ CARLOS MACENTE,"874",,JARDIM RESIDENCIAL HAMADA,"86990000",PR,MARIALVA
AVENIDA,DOUTOR ARLINDO JOAQUIM DE LEMOS,"1009",SALA  COMERCIAL B,VILA LEMOS,"13100450",SP,CAMPINAS
RUA,CECILIA DELGADO,"125A",,CENTRO,"56460000",PE,PETROLANDIA
RUA,EPICURO,"630",,CENTRO,"39495000",MG,MONTALVANIA
AVENIDA,SANTA BEATRIZ DA SILVA,"1501",,SAO BENEDITO,"38020433",MG,UBERABA
RODOVIA,PR-317 - KM 05 - SHOPPING PARANA MODA PARK,"5428",LOJA  181/182,PARQUE INDUSTRIAL - GLEBA RIBEIRAO PINGUIM,"87065005",PR,MARINGA
RUA,DO VIDEO,"97",,CENTRO,"63180000",CE,BARBALHA
AVENIDA,RIO BRANCO,"178",TERREOESQ.G.FERNANDES 3169,JARDIM SHANGRI-LA A,"86070535",PR,LONDRINA
RUA,PROFESSOR FRANCISCO VALIO,"1574",,CENTRO,"18200035",SP,ITAPETININGA
