"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
RUA,CORONEL BIA,S/N,LOJA  04,CENTRO,"62840000",CE,BEBERIBE
AVENIDA,LEOPOLDINO DE OLIVEIRA,"5100",LOJA  ANCORA 5 - PISO 2,VILA OLIMPICA,"38066015",MG,UBERABA
RUA,"15 DE NOVEMBRO","489",QUADRA24                  LOTE  04,CENTRO,"17300000",SP,DOIS CORREGOS
AVENIDA,CORONEL LUIZ GOMES,"196",QUADRA14                  LOTE  6,CENTRO,"69830000",AM,LABREA
ESTRADA,DE JACAREPAGUA,"6069",      LOJA 222 A NIVEL L2,ANIL,"22753033",RJ,RIO DE JANEIRO
AVENIDA,GOIAS,"3401",LOJA  AC01                SETOR A                   QUADRACHACARA             LOTE  0096,ZONA URBANA,"77410010",TO,GURUPI
AVENIDA,BEIRA MAR,"495",,CENTRO,"68670000",PA,BUJARU
AVENIDA,PRESIDENTE MEDICI,S/N,LOTE  25A                 QUADRA58A,CENTRO,"68165000",PA,RUROPOLIS
RUA,CEL. LUIZ P. DOS SANTOS,"41",,TANGUA I,"24890000",RJ,TANGUA
AVENIDA,GETULIO VARGAS,"2992",,CENTRO,"65645000",MA,MATOES
RUA,CORONEL VALENCIO CARNEIRO,"167",,CENTRO,"19880033",SP,CANDIDO MOTA
AVENIDA,DR PAULO RAMOS,"328",,CENTRO,"65570000",MA,ARAIOSES
AVENIDA,PRESIDENTE VARGAS,"1215",,CENTRO,"95320000",RS,NOVA PRATA
PRACA,DR. CORNELIO D FONSECA,"3377",SETOR 010                 QUADRA029                 LOTE  0177,CENTRO,"55550000",PE,AGUA PRETA
AVENIDA,TUPI,"2166",LOJA  TERREA 01,CENTRO,"85501292",PR,PATO BRANCO
AVENIDA,DOS JARDINS (AVENUE OF THE GARDENS) - LADO PAR,"864",LOJA  296                 ANDAR 02 TERRAZO SHOPPING,COACU,"61771830",CE,EUSEBIO
RODOVIA,BR 101 SUL,"9415",GALPAOA DOCAS 8 A 12,CENTRO,"54510000",PE,CABO DE SANTO AGOSTINHO
RODOVIA,RS-118,"9475",      MODULOS 9 10 11 27        28 E 29 - AREA 2,NEOPOLIS,"94100420",RS,GRAVATAI
RODOVIA,ANTONIO MARTINS DE MENEZES,"180",,JARDIM CAMPO NOVO,"49400000",SE,LAGARTO
AVENIDA,CORONEL JOSE SEVERIANO MAIA,"400",SALA  406,VILA BUENOS AIRES,"89300330",SC,MAFRA
RODOVIA,MS 162 KM 02 - ESTRADA DA PICADINHA - FAZ CACHOEIRA,"0",,ZONA RURAL,"79150000",MS,MARACAJU
RUA,JOAO THOMAZ PINTO,"1570",SALA  108                 GALPAO3,CANHANDUBA,"88313045",SC,ITAJAI
AVENIDA,ANTONIO BRADAO DE OLIVEIRA,"180",,CENTRO,"86210000",PR,JATAIZINHO
RUA,CENTO E TRINTA E UM (NUC HAB CPA IV),"221",,MORADA DA SERRA,"78058320",MT,CUIABA
AVENIDA,SENADOR ATILIO FONTANA,S/N,QUADRAIND2                LOTE  15,DISTRITO INDUSTRIAL,"78745800",MT,RONDONOPOLIS
RUA,ROQUE CALAGE,"247",,PASSO DA AREIA,"91350090",RS,PORTO ALEGRE
RUA,PARAIBA,"742",,NOVA IMPERATRIZ,"65907260",MA,IMPERATRIZ
RUA,SALGADO FILHO,"1596",ANEXO B,NOSSA SENHORA DAS GRACAS,"76804118",RO,PORTO VELHO
AVENIDA,BERLIM,"400",,SAO GERALDO,"90240580",RS,PORTO ALEGRE
ESTRADA MUNICIPAL,ADOLFO RANDAZZO,"2010",,SANTA FE,"95046800",RS,CAXIAS DO SUL
RODOVIA,"BR 364 KM 196, A DIREITA 6 KM",SN,LOTE  ESTACIAO UNIAO,ZONA RURAL,"78700970",MT,RONDONOPOLIS
RUA,EDGAR MARCHIORI,"255",SETOR ELANCO 2,DISTRITO INDUSTRIAL,"13288006",SP,VINHEDO
RUA,JOSE MIRANDA DE ALMEIDA,"85",,CENTRO,"33010040",MG,SANTA LUZIA
RODOVIA,"DOMINGOS BRIANTI MT 010, KM 27, LADO ESQUERDO, FAZENDA RES",S/N,,ZONA RURAL,"78435000",MT,SAO JOSE DO RIO CLARO
RUA,COSTA BARROS,"2658",,SITIO PINHEIRINHO,"03210001",SP,SAO PAULO
RUA,JOSE FACHINI,"111",,JOAO APOLINARIO NEVES,"13655364",SP,SANTA CRUZ DAS PALMEIRAS
RUA,VEREADOR JOAO BARBOSA CARAMURU 184,"184",      PARTE A,BANDEIRANTES,"78010900",MT,CUIABA
RUA,ROSA DE SAROM,"134",,JORGE RITT,"79400000",MS,COXIM
RUA,NOVA PETROPOLIS,"268",,JARDIM BUHLER,"93900000",RS,IVOTI
RUA,CANELA,"82",QUADRA82                  LOTE  82,CENTRO,"76350000",GO,RUBIATABA
RUA,ROUXINOL,"6901",,PARQUE INDUSTRIAL IV,"86706418",PR,ARAPONGAS
RUA,GETULIO CANDIDO,SN,ANDAR 1,CENTRO,"48000087",BA,ALAGOINHAS
RUA,ALTAIR,"295",,JARDIM SATELITE,"12230230",SP,SAO JOSE DOS CAMPOS
AVENIDA,SALVADOR,"1928",,CENTRO,"95775000",RS,TUPANDI
RUA,COLOMBIA,"784",,JARDIM AMERICA,"01438001",SP,SAO PAULO
AVENIDA,BERNARDO VIEIRA DE MELO,"4257",      LJ 005,CANDEIAS,"54430770",PE,JABOATAO DOS GUARARAPES
RUA,"02","25",QUADRA1                   LOTE  1,CENTRO,"78635000",MT,AGUA BOA
RUA,DANIEL PESSOA,"34",,ERNESTO GEISEL,"58075360",PB,JOAO PESSOA
RODOVIA,RS-239,"1420",BOX   L21,OPERARIO,"93352700",RS,NOVO HAMBURGO
ACESSO,"RODOVIA DOM PEDRO I, KM 140 SP-065 SALA 11",S/N,PAVLH CEASA,JARDIM SANTA MONICA,"13082902",SP,CAMPINAS
AVENIDA,TAPEJARA,"210",,CENTRO,"87780000",PR,PARAISO DO NORTE
AVENIDA,PRESIDENTE VARGAS,"905",QUADRA02                  LOTE  05,CENTRO,"86790000",PR,LOBATO
AVENIDA,BANDEIRANTES,"3442",,BRIGADEIRO TOBIAS,"18108000",SP,SOROCABA
RUA,PAULO ALVES PINTO,"304",      E 635 E 641 DA RUA        LOURENCO JASIOCHA   CASA  01 A 10,CENTRO,"83702240",PR,ARAUCARIA
ESTRADA,ESTRADA RURAL ANACLETO BALDISSERA,S/N,,SERRINHA,"89816200",SC,CHAPECO
AVENIDA,PRESIDENTE VARGAS,"223",SALA  05,CENTRO,"95320000",RS,NOVA PRATA
RUA,FREI CORNELIO VAN VELZEN,"90",,CASA BLANCA,"39560000",MG,SALINAS
RUA,IZAURA FRANCO DE OLIVEIRA,"759",SALA  15 - VK OFFICE,DA PONTA NOVA,"37640000",MG,EXTREMA
RUA,CAPITAO DESLANDES,"81",,CENTRO,"29300190",ES,CACHOEIRO DE ITAPEMIRIM
RUA,TARAUACA,"1218",,JARDIM CUMBICA,"07240180",SP,GUARULHOS
AVENIDA,AMINTAS BARROS,"3700",SALA  708                 BLOCO A,LAGOA NOVA,"59075810",RN,NATAL
AVENIDA,PORTUGAL,"1397",,JARDIM SAO LUIZ,"14020380",SP,RIBEIRAO PRETO
RUA,PREFEITO ROQUE VERNALHA,"2132",,VILA CRUZEIRO,"83221000",PR,PARANAGUA
AVENIDA,PRESIDENTE GETULIO VARGAS,"15",LETRA B,CENTRO,"59140270",RN,PARNAMIRIM
AVENIDA,ANTONIO TRILHA,"380",,GABRIELENSE,"97306064",RS,SAO GABRIEL
TRAVESSA,JOSE PINHEIRO,S/N,,CENTRO,"68600000",PA,BRAGANCA
AVENIDA,FELIPE TIAGO GOMES,"36",,CENTRO,"75980000",GO,PARAUNA
AVENIDA,DOM PEDRO II,"1173",,NOVA RUSSIA,"84053000",PR,PONTA GROSSA
RODOVIA,DOS METALURGICOS,"941",      PARTE,SAO GERALDO,"27253005",RJ,VOLTA REDONDA
RUA,PIRARUCU,"2635",,AREAS ESPECIAIS,"76870258",RO,ARIQUEMES
RUA,"25 DE DEZEMBRO","2411",,MORRO GRANDE,"89337899",SC,SAO FRANCISCO DO SUL
RUA,SALGADO FILHO,S/N,SETOR HANGAR WALTER GARCIA,JARDIM IPANEMA,"38406393",MG,UBERLANDIA
AVENIDA,NEWTON BELLO,S/N,KM    13 MAIS 2 KM ESQ    SALA  01,SANTA RITA,"65919050",MA,IMPERATRIZ
RUA,VISCONDE DE CAIRU,"1471",,CRISTINA DE FREITAS,"15115000",SP,BADY BASSITT
AVENIDA,MARCOLINO MARTINS CABRAL,"1788",SALA  1004 1005 E 1006,CENTRO,"88705903",SC,TUBARAO
RODOVIA,TO 255,S/N,QUADRA00                  LOTE  15,ZONA RURAL,"77500000",TO,PORTO NACIONAL
RUA,ALFREDO ACHCAR,"970",GALPAO3B,NOVA VINHEDO,"13284072",SP,VINHEDO
AVENIDA,PAULO VI,"17",,PETROPOLIS,"69067390",AM,MANAUS
RUA,DAS ARAPONGAS,"35",,JARDIM NOVA LENCOIS,"18685550",SP,LENCOIS PAULISTA
AVENIDA,DONA RUYCE FERRAZ ALVIM,"333",ANEXO 355,VILA NOGUEIRA,"09951002",SP,DIADEMA
RUA,SALVADOR SILVA,S/N,QUADRA0131                LOTE  0028,VILA NOVA,"75200000",GO,PIRES DO RIO
RUA,SAO LOURENCO,"1529",LOTE  02,CENTRO,"15990250",SP,MATAO
RUA,JOSE BIM,"581",,CENTRO,"12940640",SP,ATIBAIA
RUA,JOSE MARQUES,"180",LOJA  184,VILA SANTA ROSA,"11431020",SP,GUARUJA
AVENIDA,SANTOS DUMONT,SN,QUADRA27A                 LOTE  03,CENTRO,"76255000",GO,MONTES CLAROS DE GOIAS
AVENIDA,INO RESENDE ESQUINA COM RUA ADELTRIDES ALVES SAMPAIO,S/N,QUADRA04                  LOTE  10,SETOR CRUVINEL,"75834113",GO,MINEIROS
RUA,ELIAS BUFAICAL NETO,SN,QUADRA17                  LOTE  09,VILA ISABEL,"75367896",GO,GOIANIRA
RUA,HILDA DEL NERO BISQUOLO,"102",LOJA  08,JARDIM FLORIDA,"13208703",SP,JUNDIAI
ESTRADA,DO NATIVO,SN,CASA  FAZENDA BULANDEIRA,PEDRA D'AGUA,"29938310",ES,SAO MATEUS
RODOVIA,"BR 158, KM 264","1260",,TREVO DE ACESSO A CRUZ ALTA,"98130000",RS,JULIO DE CASTILHOS
AVENIDA,BRASIL OESTE,"2595",SALA  A,BOQUEIRAO,"99025503",RS,PASSO FUNDO
RUA,GENERAL MARCONDES SALGADO,"11-39",LOJA  311-A,CHACARA DAS FLORES,"17013113",SP,BAURU
AVENIDA,GENERAL CARNEIRO,"1120",,VILA LUCY,"18043003",SP,SOROCABA
RODOVIA,BR 101,S/N,KM    184/185                   PARTE B,SANTA ROSA,"55540000",PE,PALMARES
AVENIDA,JOAO PESSOA,"472",,LAUZANE PAULISTA,"02440050",SP,SAO PAULO
TRAVESSA,VITORIA,"13-25",QUADRA91A                 LOTE  5 6 7 8 9 E 10A,CENTRO,"86800530",PR,APUCARANA
RUA,PROJETADA ?A?,"206",QUADRA12 E 13,PARQUE INDUSTRIAL III,"86650000",PR,SANTO INACIO
RUA,SAO TURIBIO,"410",,ARACAPE,"60764677",CE,FORTALEZA
RUA,SENADOR GIOVANNI AGNELLI,"580",,DISTRITO INDUSTRIAL PAULO CAMILO NORTE,"32681080",MG,BETIM
RUA,DOUTOR DUQUE DE MESQUITA,"151",,CENTRO,"36800000",MG,CARANGOLA
RUA,TARRAGONA,"110",QUADRA184                 LOTE  02                  SALA  02,JD EUROPA,"74330580",GO,GOIANIA
AVENIDA,TIRADENTES,"1855",,CENTRO,"89121000",SC,RIO DOS CEDROS
RUA,NICOLA CANDIA,"221",,MONDEGO,"79380000",MS,MIRANDA
QUADRA,SHCN CL QD 116,S/N,BLOCO A                   SUBSL 16/18/20,ASA NORTE,"70773510",DF,BRASILIA
RUA,GIOVANNI LEGRENZI,"536",,CIDADE ANTONIO ESTEVAO DE CARVALHO,"08225270",SP,SAO PAULO
AVENIDA,CARLOS DRUMOND DE ANDRADE,"308",      ESTACIONAMENTO      EDIF  JOBMALL,CENTRO,"35900025",MG,ITABIRA
AVENIDA,JANUNCIO FERREIRA,"871",,LAURITZEN,"58401387",PB,CAMPINA GRANDE
RUA,"12","896",,CENTRO,"14790000",SP,GUAIRA
RUA,MARIA MAROLA GATO,"501",FUNDOSQUADRA 00138        LOTE  2674 UNIDADE 3,JARDIM MARCO ZERO,"68903200",AP,MACAPA
RUA,DOIS DE DEZEMBRO,"746",,TAUA MIRIM,"69460000",AM,COARI
RUA,JOSE MARIA DOS PASSOS,"205",,JARDIM PADRE BENTO,"13313110",SP,ITU
AVENIDA,VERIANO DE OLIVEIRA LIMA,"1315",QUADRA0057                LOTE  0001,VILA SANTA MARIA,"75800093",GO,JATAI
RUA,CORONEL CHICUTA,"436",LOJA  8,CENTRO,"99010051",RS,PASSO FUNDO
RUA,SETE DE SETEMBRO,"1218",,JARDIM LA SALLE,"85902050",PR,TOLEDO
RUA,EQUADOR,"75",,JARDIM PARAISO,"97590000",RS,ROSARIO DO SUL
TRAVESSA,RAFAEL FRANCISCO GRECA,"186",,AGUA VERDE,"80620150",PR,CURITIBA
RUA,PARAGUASSU,"900",,RAINHA DO MAR,"95588000",RS,XANGRI-LA
RUA,ESPIRITO SANTO,"112",ANEXO PARTE,EXTENSAO DO BOSQUE,"28893316",RJ,RIO DAS OSTRAS
RUA,JOSE MEDEIROS E ALBUQUERQUE,"443",,TABOAO,"09662030",SP,SAO BERNARDO DO CAMPO
RUA,WAGNER LUIZ BEVILACQUA,"525",      PARTE A1402,LEITAO,"13290000",SP,LOUVEIRA
AVENIDA,"GUAXENDUBA/KENNEDY/CAJAZEIRAS, A","120",LETRA A,COREIA,"65015560",MA,SAO LUIS
RUA,VEREADOR ARTHUR MANOEL MARIANO,"362",SALA  201,FORQUILHINHA,"88106500",SC,SAO JOSE
AVENIDA,JOAO DA ESCOSSIA,"3715",LOJA  2,NOVA BETANIA,"59607330",RN,MOSSORO
AVENIDA,PRESIDENTE CARLOS LUZ,"4055",,OURO PRETO,"31310250",MG,BELO HORIZONTE
AVENIDA,BOA ESPERANCA,"242",LOJA  A,LARANJEIRA,"68501170",PA,MARABA
PRACA,DA MATRIZ,"1917",,CENTRO,"77380000",TO,PINDORAMA DO TOCANTINS
PRACA,SAMUEL SABATINI,"200",QUIOSQMIK 730,CENTRO,"09750902",SP,SAO BERNARDO DO CAMPO
AVENIDA,CORONEL JOAO COELHO,"207",SALA  207 F ANDAR 1       SALA  300 ANDAR 2,CENTRO,"63090009",CE,BARBALHA
RUA,CASSIMIRO DE ABREU,"260",,CENTRO,"46430000",BA,GUANAMBI
RUA,DR CESAR CASTIGLIONI JUNIOR,"553",,CASA VERDE,"02515000",SP,SAO PAULO
RUA,MINISTRO OROZIMBO NONATO,"102",SALA  906 B                     908 B,VILA DA SERRA,"34006053",MG,NOVA LIMA
RUA,EDUARDO CRUZ,"87",,INDUSTRIAL,"49065330",SE,ARACAJU
AVENIDA,LUIZ BENTO,"877",,OVIDIO TEIXEIRA,"46400000",BA,CAETITE
AVENIDA,PERNAMBUCO ESQ. C/ RUA SENADOR PEDRO LUDOVICO,"2070",QUADRA56                  LOTE  15/16,SETOR CENTRAL,"77405140",TO,GURUPI
RUA,SENADOR PEDRO LUDOVICO,"1.475",QUADRA56                  LOTE  15 / 16,SETOR CENTRAL,"77405140",TO,GURUPI
AVENIDA,PRESIDENTE VARGAS,"1171",,CENTRO,"95320000",RS,NOVA PRATA
AVENIDA,AVENIDA IGUATEMI 777,"777",LOJA  3                   QUADRA4                   PAVMTO2,VILA BRANDINA,"13092902",SP,CAMPINAS
AVENIDA,CASA GRANDE,"566",,VILA CUNHA BUENO,"03260000",SP,SAO PAULO
AVENIDA,TANCREDO NEVES,"1582",LOJA  07 PATIO MANAUS,PARQUE 10 DE NOVEMBRO,"69054700",AM,MANAUS
AVENIDA,PRESIDENTE VARGAS,"1610",LOJA  1024                ANDAR 1,VILA RODRIGUES,"99070000",RS,PASSO FUNDO
RUA,BRIGADEIRO FRANCO,"2300",LOJA  233-4               ANDAR TR                  COND  SHOPPING CURITIBA CDBLOCO COMPLEXO,CENTRO,"80250030",PR,CURITIBA
RUA,DEPUTADO PEDRO PIRES FERREIRA,"405",LOJA  112                 EDIF  CRYSTAL CENTER,GRACAS,"52050480",PE,RECIFE
RUA,TRES FORQUILHAS,"2192",SALA  FUNDOS,TRES FORQUILHAS,"95575000",RS,TRES FORQUILHAS
ALAMEDA,H,"28",QUADRAS                   LOTE  2,RESIDENCIAL ALI MOHAMED ZEITOU,"14770000",SP,COLINA
AVENIDA,THEODORO VICTORELLI,"150",EDIF  B. LONDRINA SHOPPINGQUIOSQMIK 700,HELENA,"86027750",PR,LONDRINA
LOTEAMENTO,"07 DA AREA PA III, GALPAO II, PERIMETRO I. SEN NILO COELHO",S/N,,ZONA RURAL,"56332175",PE,PETROLINA
RODOVIA,BA 507,S/N,KM    3 FAZENDA HAROLDINA,AREA INDUSTRIAL DE SANTIAGO,"48120000",BA,POJUCA
RUA,QUATRO,SN,QUADRAD                   LOTE  05,CIDADE EMPRESARIAL NOVA ALIANCA,"75913218",GO,RIO VERDE
FAZENDA,COAGRO ITAB/AVR,SN,KM    274,ZONA RUAL,"39563000",MG,SANTA CRUZ DE SALINAS
RUA,DUQUE DE CAXIAS,"254",,CENTRO,"96200020",RS,RIO GRANDE
RUA,CARLOS GOMES,"82",QUADRA20                  LOTE  17                  LOJA  04,CENTRO,"73700000",GO,PADRE BERNARDO
RODOVIA,"BR-414 - KM 376, FAZENDA TAQUARAL",S/N,,ZONA RURAL,"72975000",GO,COCALZINHO DE GOIAS
RUA,PEDREGAL,"101",,JARDIM CALIFORNIA,"78070383",MT,CUIABA
FAZENDA,SAO MATHEUS,S/N,SALA  1,ZONA RURAL,"57265000",AL,TEOTONIO VILELA
PRACA,FRANCISCO ORANGES,"100",ANEXO I                         ESTADIO SANTA CRUZ,RIBEIRANIA,"14096079",SP,RIBEIRAO PRETO
RODOVIA,"BR 163, KM 618",S/N,SALA  02,ZONA RURAL,"79493899",MS,SAO GABRIEL DO OESTE
RUA,JOSE AMERICO GARCIA,"160",,COMENDADOR VENANCIO,"28300000",RJ,ITAPERUNA
RUA,VICENTE MARTINS CAMPOS,"194",,PARQUE BOM RETIRO,"13142124",SP,PAULINIA
RUA,DODO GOMES DE ALMEIDA,"900",,TANQUES,"62883665",CE,HORIZONTE
RODOVIA,MA 020,S/N,KM    7.6,ZONA RURAL,"65430000",MA,VARGEM GRANDE
RUA,MANOEL ANTONIO,"11",,ALTO DE SAO MANOEL,"59631110",RN,MOSSORO
RUA,FRANCISCO SESQUIM,"356",GALPAO2 B                 SALA  06,PLANETA,"29156777",ES,CARIACICA
RUA,DONATO ROCHA,"315",,CENTRO,"35588000",MG,ARCOS
RUA,AVELINO FARIA NETO,"505",,CE,"12350000",SP,IGARATA
AVENIDA,IBRAHIM DE CARVALHO,"870",LOJA  07,CENTRO,"37490000",MG,SAO GONCALO DO SAPUCAI
QUADRA,QUADRA 2 CONJUNTO D,"01A",,SETOR DE INDUSTRIAS BERNARDO SAYAO (NUCLEO BANDEIR,"71736204",DF,BRASILIA
RUA,DONA AMBROSINA DO CARMO BUONAGUIDE,"559",TERREOTERREO              ANDAR PRIMEIRO,REGIAO CENTRAL,"07700135",SP,CAIEIRAS
AVENIDA,"DOS PORTUGUESES, N. 37 - RESTAURANTE UNIVERSITARIO",S/N,,SA VIANA,"65085581",MA,SAO LUIS
RUA,VISCONDE DE GUARAPUAVA,"2481",,FIGUEIRA,"83280000",PR,GUARATUBA
AVENIDA,"1° DE ABRIL","789",,CENTRO,"58540000",PB,SUME
AVENIDA,RUI BARBOSA,"356",,CENTRO,"58200000",PB,GUARABIRA
AVENIDA,GABRIEL HENRIQUE DE ARAUJO,"250",SALA  02,FAZ SANTA RITA,"74484470",GO,GOIANIA
RUA,SUICA,"191",LOJA  02,UNIVERSITARIO,"55016630",PE,CARUARU
AVENIDA,PICADILLY,"105",LOJA  115,ALPHAVILLE - LAGOA DOS INGLESES,"34018004",MG,NOVA LIMA
RUA,JOSE AMILCAR CONGRO BASTOS,"1313",,JARDIM CANGALHA,"79604250",MS,TRES LAGOAS
QUADRA,QUADRA 6,"16",LOTE  16C-1A,MANSOES CAMARGO,"72927036",GO,AGUAS LINDAS DE GOIAS
AVENIDA,AILTON GOMES DE ALENCAR,"2569",LOJA  LOJAS 10 - 11 - 12,JOSE GERALDO DA CRUZ,"63033027",CE,JUAZEIRO DO NORTE
ESTRADA,UNIAO E INDUSTRIA,"11540",,ITAIPAVA,"25730745",RJ,PETROPOLIS
RODOVIA,ENGENHEIRO FABIANO VIVACQUA,"1329",QUIOSQ01,TIJUCA,"29320899",ES,CACHOEIRO DE ITAPEMIRIM
RODOVIA,"BR 232, KM 206,3",S/N,,ZONA RURAL,"55200000",PE,PESQUEIRA
RUA,JOAO SAVI,"202",,CIDADE NOVA,"89400000",SC,PORTO UNIAO
RUA,GENERAL OSORIO,S/N,SALA  01,CENTRO,"85390000",PR,VIRMOND
RUA,JUSTINIANO DE SERPA,"65",,CENTRO,"69970000",AC,TARAUACA
RUA,PASCHOAL CONTE,"1588",,JARDIM PRIMAVERA - URBANO,"89182000",SC,LONTRAS
SETOR,SGCV (ST GARAGENS E CONCES DE VEICULOS),"22",LOJA  219-220,ZONA INDUSTRIAL (GUARA),"71215100",DF,BRASILIA
RUA,JOSE FRANCISCO DE SOUSA,"42",,CENTRO,"58935000",PB,CACHOEIRA DOS INDIOS
AVENIDA,ENGENHEIRO ROBERTO FREIRE,"210",LOJA  4                   CONJ  HB 210,CAPIM MACIO,"59082400",RN,NATAL
SETOR,SHLS,QD 716,BLOCO K                   LOJA  14                  SLJ   14,ASA SUL,"70390700",DF,BRASILIA
ESTRADA,BAIRRO DOS CAMARGOS,S/N,KM    8 FAZENDA MAC LEE,DOS CAMARGOS,"18709899",SP,AVARE
RUA,HENRIQUE COUTO/ RUA 8,"08 E 9",,COHAMA,"65074100",MA,SAO LUIS
RODOVIA,BR 116,S/N,KM    19.5                SALA  02,VILA SAO SEBASTIAO,"83374890",PR,ANTONINA
AVENIDA,LEOPOLDINO DE OLIVEIRA,"2501",,ESTADOS UNIDOS,"38015000",MG,UBERABA
AVENIDA,CASSIANO RICARDO,"319",SALA  505,PARQUE RESIDENCIAL AQUARIUS,"12246870",SP,SAO JOSE DOS CAMPOS
RUA,PADRE CONRADO,"967",,VILA SANTOS DUMONT,"14405275",SP,FRANCA
CORREGO,ROSEIRA,S/N,,ZONA RURAL,"35200000",MG,AIMORES
RODOVIA,DARLY SANTOS,"800",GALPAO1                   GALPAO1A                  GALPAO2B,JARDIM ASTECA,"29104491",ES,VILA VELHA
AVENIDA,WASHINGTON SOARES,"85",LOJA  312 B E 313,EDSON QUEIROZ,"60811900",CE,FORTALEZA
RUA,ASSIS BRASIL,"448",,VILA ISABEL,"85504293",PR,PATO BRANCO
RUA,EMILIO BARBOSA DA SILVA,"444",LOTE  9                   QUADRAJ,JARDIM ALVORADA - POLO INDUSTRIAL JANDIRA II,"06612285",SP,JANDIRA
RUA,PADRE NESTOR SAMPAIO,"140",,LUZIA,"49045015",SE,ARACAJU
AVENIDA,DOS IMIGRANTES,"101",QUIOSQDE ALIMENTACAO,SAO SEBASTIAO,"76801799",RO,PORTO VELHO
PRACA,DOM OTAVIO,"218",      SL,CENTRO,"37496000",MG,TURVOLANDIA
AVENIDA,SETE DE SETEMBRO,"2775",LOJA  2041,REBOUCAS,"80230010",PR,CURITIBA
RUA,"4 B","799",ANEXO REFEITORIO DO DAAE,VILA INDAIA,"13506733",SP,RIO CLARO
ESTRADA,JOSE MATHIAS DE CAMARGO,"491",,INVERNADA,"06846035",SP,EMBU DAS ARTES
SITIO,NOSSA SENHORA DAS GRACAS,S/N,GALPAO1E 2A E 2C,AREA RURAL DE JABOTICABAL,"14897899",SP,JABOTICABAL
RUA,CONSELHEIRO RODRIGUES ALVES,"140",SALA  03,CENTRO,"12600490",SP,LORENA
AVENIDA,JOSE DIONISIO FILHO,SN,,CENTRO,"63155000",CE,SALITRE
AVENIDA,SENADOR VERGUEIRO,"5030",,RUDGE RAMOS,"09604000",SP,SAO BERNARDO DO CAMPO
AVENIDA,IPANEMA,"4000",LOJA  4,JARDIM NOVO HORIZONTE,"18071801",SP,SOROCABA
RUA,ANTONIO FERNANDES LEITE,"975",LOJA  09,JARDIM SANTA IZABEL,"13185230",SP,HORTOLANDIA
AVENIDA,ANTONIO JOAQUIM MENDES,"451",,CENTRO,"13631110",SP,PIRASSUNUNGA
RUA,QUINZE DE NOVEMBRO,"6947",SALA  02 E 03,VILA NOVA,"89201601",SC,JOINVILLE
AVENIDA,DOS EXPEDICIONARIOS BRASILEIROS,"782",,VILA BRASILEIRA,"13256400",SP,ITATIBA
AVENIDA,PRIMEIRO DE MAIO,"1415",,VARZEA GRANDE,"95670000",RS,GRAMADO
AVENIDA,MADRE LEONIA MILITO,"826",,BELA SUICA,"86050270",PR,LONDRINA
AVENIDA,PARANAGUA,"4412",SALA  1,BALNEARIO FLORIDA,"83260000",PR,MATINHOS
RUA,JOSE LOUREIRO,"464",CONJ  93                  COND  MINERVA BARAO ED,CENTRO,"80010000",PR,CURITIBA
AVENIDA,CAMBACICA,"610",BLOCO 07                  ANDAR 1,PARQUE DOS RESEDAS,"13097160",SP,CAMPINAS
PRACA,RUY BARBOSA,"08",,CENTRO,"45200250",BA,JEQUIE
RUA,ANESIO AUGUSTO DO AMARAL,"228",,SANTA ROSA,"13289158",SP,VINHEDO
AVENIDA,CARLOS LINDENBERG,"4723",LOJA  1,NOSSA SENHORA DA PENHA,"29110902",ES,VILA VELHA
RUA,PRESIDENTE PRUDENTE,"220",,SAO LUIZ,"88803210",SC,CRICIUMA
RUA,REBOUCAS,"674",,PARQUE DOS NOVOS ESTADOS,"79034090",MS,CAMPO GRANDE
TRAVESSA,JOAO AIRES,"141",,SETOR CENTRAL,"75020310",GO,ANAPOLIS
AVENIDA,MARECHAL FLORIANO PEIXOTO,"1532",,CENTRO,"79904674",MS,PONTA PORA
VIA DE ACESSO,WENCESLAU BRAZ,SN,QUADRA12                  LOTE  04 A 13,JARDIM TRANSBRASILIANO,"74919362",GO,APARECIDA DE GOIANIA
AVENIDA,DO TRABALHO,"1600",,CENTRO INDUSTRIAL,"46430000",BA,GUANAMBI
RODOVIA,MONSENHOR CLODOALDO DE PAIVA (ITAPIRA-LINDOIA) KM 14,SN,,PONTE PRETA,"13974900",SP,ITAPIRA
ESTRADA,DOS BANDEIRANTES,"20730",      LOT 1 PAL 32125,VARGEM PEQUENA,"22783551",RJ,RIO DE JANEIRO
RUA,PARANA,"5558",,COQUEIRAL,"85807040",PR,CASCAVEL
RUA,"08","15",,LOT BEIRA LAGO,"38490000",MG,INDIANOPOLIS
AVENIDA,LIONS INTERNACIONAL,"11",,NUCLEO HABITACIONAL RIO VERMELHO,"78740323",MT,RONDONOPOLIS
RODOVIA,CAPITAO BARDUINO,"2250",LOJA  09 E 10,NOGUEIRAS,"13960000",SP,SOCORRO
RODOVIA,BR 163,S/N,      ESTRADA MACUCO 27 KM      A DIREITA 5 KM,ZONA RURAL,"78540000",MT,CLAUDIA
AVENIDA,AMAMBAI,"2233A",,JARDIM PARAISO,"79950000",MS,NAVIRAI
AVENIDA,PORTUGAL,"1148",SALA  CB3104              QUADRAL29                 LOTE  1E,SET MARISTA,"74150030",GO,GOIANIA
RUA,ANCHIETA,"258",SALA  01,KURASHIKI,"93212730",RS,SAPUCAIA DO SUL
